"Flavor";"Single_Percentage";"Rate";"Cost";"Volume";"Used in recipes";"Note"
"Acetyl Pyrazine 5% (TPA)";;;2.39;15.00;X;""
"Banana (Purilum)";;;1.39;15.00;X;""
"Banana Cream (TPA)";;;1.09;15.00;X;""
"Banana Nut Bread (TPA)";;;1.09;15.00;X;""
"Bananascotch Cream (Purilum)";;;1.39;15.00;X;""
"Bavarian Cream (TPA)";;;6.19;120.00;X;""
"Biscuit (Inawera)";;;2.49;15.00;X;""
"Blackcurrant (Ribes) (FA)";;;3.40;15.00;X;""
"Blueberry Extra (TPA)";;;1.09;15.00;X;""
"Brown Sugar (TPA)";;;1.39;15.00;X;""
"Butterscotch (Flavorah)";;;5.49;15.00;X;""
"Candy Cane (FW)";;;1.49;15.00;X;""
"Caramel (TPA)";;;1.19;15.00;-;""
"Catalan Cream (FA)";;;3.40;15.00;X;""
"Golden Pineapple (Cap)";;;1.99;15.00;X;""
"Greek Yogurt (TPA)";;;1.59;15.00;X;""
"Hazelnut (FW)";;;1.29;15.00;X;""
"Joker / Burlone (Pazzo) (FA)";6.0;;2.36;15.00;X;""
"Juicy Lemon (Cap)";;;1.99;15.00;X;""
"Juicy Peach (Cap)";;;1.99;15.00;X;""
"Kiwi (Double) (TPA)";;;1.29;15.00;X;""
"Kiwi (Purilum)";;;1.39;15.00;X;""
"Koolada (10%) TFA / (TPA)";;;1.69;15.00;X;""
"Lemonade (Purilum)";;;1.39;15.00;X;""
"Marshmallow (TPA)";;;1.09;15.00;-;""
"Menthol (TPA)";;;3.09;15.00;X;""
"Meringue (FA)";;;3.40;15.00;X;""
"Milk and Honey (Flavorah)";;;5.49;15.00;X;""
"New York Cheesecake (Cap)";;;;;X;""
"New York Cheesecake v2 (Cap)";;;1.99;15.00;-;""
"Orange Cream (TPA)";;;1.09;15.00;-;""
"Orange Mandarin (TPA)";;;2.78;30.00;-;""
"Peach, White (FA)";;;3.40;15.00;X;""
"Peppermint (TPA)";;;1.49;15.00;X;""
"Pistachio (TPA)";;;1.29;15.00;-;""
"Rice Crunchies (TPA)";;;1.49;15.00;X;""
"RY4 (Hangsen)";;;3.79;15.00;X;""
"RY4 Double (TPA)";;;1.49;15.00;X;""
"Saline (0.9% solution)";;;0.03;200.00;X;""
"Strawberries and Cream (TPA)";;;1.29;15.00;X;""
"Strawberry (Ripe) (TPA)";;;1.49;15.00;X;""
"Strawberry (TPA)";;;1.29;15.00;X;""
"Sugar Cookie (Cap)";;;1.99;15.00;X;""
"Sweet Cream (TPA)";;;;;-;""
"Sweet Cream DX (TPA)";;;1.29;15.00;-;""
"Sweet Strawberry (Cap)";;;1.99;15.00;X;""
"Vanilla Bean Ice Cream (Cap)";;;1.99;15.00;X;""
"Vanilla Custard (Cap)";;;;;X;""
"Vanilla Custard v2 (Cap)";;;1.99;15.00;X;""
"Vanilla Swirl (TPA)";;;1.49;15.00;X;""
"Vanilla Whipped Cream (Cap)";;;1.99;15.00;-;""
"Whipped Cream (TPA)";;;1.09;15.00;X;""
"Wintergreen (TPA)";;;1.09;15.00;X;""
